name;bus;capacity_cost;capacity_potential;carrier;costs in US/kW;efficiency;lifetime;profile;tech;type
pv_rooftop_KH;KH;72938.93963756577;;solar;850;1.0;25;pv_rooftop_KH-profile;pv_rooftop;volatile
pv_rooftop_LA;LA;72938.93963756577;;solar;850;1.0;25;pv_rooftop_LA-profile;pv_rooftop;volatile
pv_rooftop_MM;MM;72938.93963756577;;solar;850;1.0;25;pv_rooftop_MM-profile;pv_rooftop;volatile
pv_rooftop_TH;TH;72938.93963756577;;solar;850;1.0;25;pv_rooftop_TH-profile;pv_rooftop;volatile
pv_rooftop_VN;VN;72938.93963756577;;solar;850;1.0;25;pv_rooftop_VN-profile;pv_rooftop;volatile
wind_offshore_KH;KH;201568.9049513435;;wind;2349;1.0;25;wind_offshore_KH-profile;wind_offshore;volatile
wind_offshore_LA;LA;201568.9049513435;;wind;2349;1.0;25;wind_offshore_LA-profile;wind_offshore;volatile
wind_offshore_MM;MM;201568.9049513435;;wind;2349;1.0;25;wind_offshore_MM-profile;wind_offshore;volatile
wind_offshore_TH;TH;201568.9049513435;;wind;2349;1.0;25;wind_offshore_TH-profile;wind_offshore;volatile
wind_offshore_VN;VN;201568.9049513435;;wind;2349;1.0;25;wind_offshore_VN-profile;wind_offshore;volatile
wind_onshore_KH;KH;100827.3577342821;;wind;1175;1.0;25;wind_onshore_KH-profile;wind_onshore;volatile
wind_onshore_LA;LA;100827.3577342821;;wind;1175;1.0;25;wind_onshore_LA-profile;wind_onshore;volatile
wind_onshore_MM;MM;100827.3577342821;;wind;1175;1.0;25;wind_onshore_MM-profile;wind_onshore;volatile
wind_onshore_TH;TH;100827.3577342821;;wind;1175;1.0;25;wind_onshore_TH-profile;wind_onshore;volatile
wind_onshore_VN;VN;100827.3577342821;;wind;1175;1.0;25;wind_onshore_VN-profile;wind_onshore;volatile
